ticker,current_weight,target_weight,weight_delta,current_shares,rank,decision,composite_score,momentum_score,value_score,quality_score,low_vol_score,factor_contributions,top_positive_factors,top_negative_factors,missing_count,explanation
AAPL,0.02,0.025,0.005000000000000001,5.0,3.0,ADD,0.1616023986339063,-0.38689687122067207,-0.7051883867201454,1.2911565582242859,0.6558970856203639,"{""low_vol_score"": 0.13117941712407277, ""momentum_score"": -0.11606906136620161, ""quality_score"": 0.32278913955607147, ""value_score"": -0.17629709668003635}","[""quality_score"", ""low_vol_score""]","[""value_score"", ""momentum_score""]",1,"Composite score 0.1616. Positive drivers: quality_score, low_vol_score. Negative drivers: value_score, momentum_score. Missing factor fields: 1."
JPM,0.01,0.025,0.015000000000000001,10.0,6.0,ADD,-0.021626323806322373,-0.3260353748312237,0.5270761337314505,-0.6939253472717161,0.5894829601405556,"{""low_vol_score"": 0.11789659202811112, ""momentum_score"": -0.0978106124493671, ""quality_score"": -0.17348133681792902, ""value_score"": 0.13176903343286261}","[""value_score"", ""low_vol_score""]","[""quality_score"", ""momentum_score""]",3,"Composite score -0.0216. Positive drivers: value_score, low_vol_score. Negative drivers: quality_score, momentum_score. Missing factor fields: 3."
CVX,0.0,0.025,0.025,0.0,1.0,BUY,0.7186692081031599,0.9607234268713254,1.1890390462741736,0.11619745901501975,0.52071526859732,"{""low_vol_score"": 0.104143053719464, ""momentum_score"": 0.2882170280613976, ""quality_score"": 0.029049364753754938, ""value_score"": 0.2972597615685434}","[""value_score"", ""momentum_score""]",[],2,"Composite score 0.7187. Positive drivers: value_score, momentum_score. Negative drivers: none. Missing factor fields: 2."
COST,0.0,0.025,0.025,0.0,2.0,BUY,0.2081568599530602,-0.526135521511334,0.16633668378265837,0.29834687668411825,1.2491331314488312,"{""low_vol_score"": 0.24982662628976626, ""momentum_score"": -0.1578406564534002, ""quality_score"": 0.07458671917102956, ""value_score"": 0.04158417094566459}","[""low_vol_score"", ""quality_score""]","[""momentum_score""]",1,"Composite score 0.2082. Positive drivers: low_vol_score, quality_score. Negative drivers: momentum_score. Missing factor fields: 1."
BAC,0.0,0.025,0.025,0.0,4.0,BUY,0.10773822596745891,-0.33384343497068014,1.0053285730648556,-0.6900477719352841,0.6453552808813503,"{""low_vol_score"": 0.12907105617627007, ""momentum_score"": -0.10015303049120404, ""quality_score"": -0.17251194298382103, ""value_score"": 0.2513321432662139}","[""value_score"", ""low_vol_score""]","[""quality_score"", ""momentum_score""]",3,"Composite score 0.1077. Positive drivers: value_score, low_vol_score. Negative drivers: quality_score, momentum_score. Missing factor fields: 3."
CAT,0.0,0.025,0.025,0.0,5.0,BUY,0.055092432668103375,2.2656629222393487,-0.7630734029480211,-0.21858465196489613,-1.8959596513773596,"{""low_vol_score"": -0.37919193027547193, ""momentum_score"": 0.6796988766718046, ""quality_score"": -0.05464616299122403, ""value_score"": -0.19076835073700527}","[""momentum_score""]","[""low_vol_score"", ""value_score""]",1,"Composite score 0.0551. Positive drivers: momentum_score. Negative drivers: low_vol_score, value_score. Missing factor fields: 1."
HD,0.0,0.025,0.025,0.0,7.0,BUY,-0.24230044279389001,-1.0048111608267805,0.06274902693013132,-0.025192697483400583,0.24876911546230723,"{""low_vol_score"": 0.04975382309246145, ""momentum_score"": -0.30144334824803415, ""quality_score"": -0.006298174370850146, ""value_score"": 0.01568725673253283}","[""low_vol_score"", ""value_score""]","[""momentum_score"", ""quality_score""]",1,"Composite score -0.2423. Positive drivers: low_vol_score, value_score. Negative drivers: momentum_score, quality_score. Missing factor fields: 1."
GE,0.0,0.025,0.025,0.0,8.0,BUY,-0.41995726049159704,-0.025993617732877533,-0.41455762397238194,-0.19419000592968855,-1.2998613384810809,"{""low_vol_score"": -0.2599722676962162, ""momentum_score"": -0.00779808531986326, ""quality_score"": -0.04854750148242214, ""value_score"": -0.10363940599309548}",[],"[""low_vol_score"", ""value_score""]",1,"Composite score -0.4200. Positive drivers: none. Negative drivers: low_vol_score, value_score. Missing factor fields: 1."
AMZN,0.0,0.025,0.025,0.0,9.0,BUY,-0.5508357828211091,-0.6226703680171064,-0.6846088734436436,-0.20070433438643376,-0.7135318522922893,"{""low_vol_score"": -0.14270637045845788, ""momentum_score"": -0.18680111040513192, ""quality_score"": -0.05017608359660844, ""value_score"": -0.1711522183609109}",[],"[""momentum_score"", ""value_score""]",1,"Composite score -0.5508. Positive drivers: none. Negative drivers: momentum_score, value_score. Missing factor fields: 1."
XOM,0.0,0.0,0.0,0.0,,HOLD,,,,,,{},[],[],,No factor score row available for this ticker.
MSFT,0.015,0.0,-0.015,4.0,,SELL,,,,,,{},[],[],,No factor score row available for this ticker.
