,signal_date,factor,ic,ic_mean,ic_std,icir
0,2020-12-31,momentum_score,0.10723131108730063,0.09080660244386447,0.15020314908045906,0.6045585794957086
1,2020-12-31,quality_score,-0.16992481203007515,0.03978127136021873,0.22495493095654948,0.17684107296986776
2,2020-12-31,value_score,-0.47160590021852855,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
3,2020-12-31,low_vol_score,0.05429888958963493,-0.022320601885478866,0.169457820783642,-0.13171774416937093
4,2020-12-31,composite_score,-0.09172932330827067,0.01285030758714969,0.13994557891146958,0.09182360519783817
5,2021-01-29,momentum_score,-0.04015266739105598,0.09080660244386447,0.15020314908045906,0.6045585794957086
6,2021-01-29,quality_score,-0.23458646616541348,0.03978127136021873,0.22495493095654948,0.17684107296986776
7,2021-01-29,value_score,0.04813840129822301,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
8,2021-01-29,low_vol_score,0.12791576232116128,-0.022320601885478866,0.169457820783642,-0.13171774416937093
9,2021-01-29,composite_score,-0.1609022556390977,0.01285030758714969,0.13994557891146958,0.09182360519783817
10,2021-02-26,momentum_score,0.2916370437666713,0.09080660244386447,0.15020314908045906,0.6045585794957086
11,2021-02-26,quality_score,0.024060150375939848,0.03978127136021873,0.22495493095654948,0.17684107296986776
12,2021-02-26,value_score,0.1526889916178011,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
13,2021-02-26,low_vol_score,-0.42045884883916657,-0.022320601885478866,0.169457820783642,-0.13171774416937093
14,2021-02-26,composite_score,0.11127819548872178,0.01285030758714969,0.13994557891146958,0.09182360519783817
15,2021-03-31,momentum_score,-0.12528391088897758,0.09080660244386447,0.15020314908045906,0.6045585794957086
16,2021-03-31,quality_score,-0.11127819548872178,0.03978127136021873,0.22495493095654948,0.17684107296986776
17,2021-03-31,value_score,0.1263633034078354,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
18,2021-03-31,low_vol_score,0.021068478499955974,-0.022320601885478866,0.169457820783642,-0.13171774416937093
19,2021-03-31,composite_score,-0.08421052631578946,0.01285030758714969,0.13994557891146958,0.09182360519783817
20,2021-04-30,momentum_score,0.15018974859582251,0.09080660244386447,0.15020314908045906,0.6045585794957086
21,2021-04-30,quality_score,0.3789473684210526,0.03978127136021873,0.22495493095654948,0.17684107296986776
22,2021-04-30,value_score,0.12034600324555753,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
23,2021-04-30,low_vol_score,0.1369967000463262,-0.022320601885478866,0.169457820783642,-0.13171774416937093
24,2021-04-30,composite_score,0.33684210526315783,0.01285030758714969,0.13994557891146958,0.09182360519783817
25,2021-05-31,momentum_score,0.26717171358251846,0.09080660244386447,0.15020314908045906,0.6045585794957086
26,2021-05-31,quality_score,0.025563909774436087,0.03978127136021873,0.22495493095654948,0.17684107296986776
27,2021-05-31,value_score,0.048890563818507746,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
28,2021-05-31,low_vol_score,0.03909774436090225,-0.022320601885478866,0.169457820783642,-0.13171774416937093
29,2021-05-31,composite_score,0.1413533834586466,0.01285030758714969,0.13994557891146958,0.09182360519783817
30,2021-06-30,momentum_score,-0.10264224024639128,0.09080660244386447,0.15020314908045906,0.6045585794957086
31,2021-06-30,quality_score,0.11428571428571428,0.03978127136021873,0.22495493095654948,0.17684107296986776
32,2021-06-30,value_score,0.17976684234805151,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
33,2021-06-30,low_vol_score,0.08051168569626033,-0.022320601885478866,0.169457820783642,-0.13171774416937093
34,2021-06-30,composite_score,-0.018045112781954885,0.01285030758714969,0.13994557891146958,0.09182360519783817
35,2021-07-30,momentum_score,0.2566056006159782,0.09080660244386447,0.15020314908045906,0.6045585794957086
36,2021-07-30,quality_score,-0.09473684210526315,0.03978127136021873,0.22495493095654948,0.17684107296986776
37,2021-07-30,value_score,-0.0917638274747376,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
38,2021-07-30,low_vol_score,-0.23458646616541348,-0.022320601885478866,0.169457820783642,-0.13171774416937093
39,2021-07-30,composite_score,-0.0015037593984962405,0.01285030758714969,0.13994557891146958,0.09182360519783817
40,2021-08-31,momentum_score,-0.04166786238694489,0.09080660244386447,0.15020314908045906,0.6045585794957086
41,2021-08-31,quality_score,0.4195488721804511,0.03978127136021873,0.22495493095654948,0.17684107296986776
42,2021-08-31,value_score,-0.36028584721638784,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
43,2021-08-31,low_vol_score,0.014291087885409956,-0.022320601885478866,0.169457820783642,-0.13171774416937093
44,2021-08-31,composite_score,-0.037593984962406006,0.01285030758714969,0.13994557891146958,0.09182360519783817
45,2021-09-30,momentum_score,0.08182052977800089,0.09080660244386447,0.15020314908045906,0.6045585794957086
46,2021-09-30,quality_score,0.24360902255639094,0.03978127136021873,0.22495493095654948,0.17684107296986776
47,2021-09-30,value_score,-0.32944718388471367,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
48,2021-09-30,low_vol_score,0.045112781954887216,-0.022320601885478866,0.169457820783642,-0.13171774416937093
49,2021-09-30,composite_score,0.03308270676691729,0.01285030758714969,0.13994557891146958,0.09182360519783817
50,2021-10-29,momentum_score,0.1539633603695869,0.09080660244386447,0.15020314908045906,0.6045585794957086
51,2021-10-29,quality_score,-0.15789473684210525,0.03978127136021873,0.22495493095654948,0.17684107296986776
52,2021-10-29,value_score,0.07897706462989713,-0.04526650803895402,0.23316524182203038,-0.1941391765137314
53,2021-10-29,low_vol_score,-0.10977443609022557,-0.022320601885478866,0.169457820783642,-0.13171774416937093
54,2021-10-29,composite_score,-0.08721804511278194,0.01285030758714969,0.13994557891146958,0.09182360519783817
