,signal_date,execution_date,selected_count,target_weight_sum,turnover,commission_cost,slippage_cost,total_cost
0,2023-01-31,2023-02-01,0,0.0,0.0,0.0,0.0,0.0
1,2023-02-28,2023-03-01,0,0.0,0.0,0.0,0.0,0.0
2,2023-03-31,2023-04-03,0,0.0,0.0,0.0,0.0,0.0
3,2023-04-28,2023-05-01,0,0.0,0.0,0.0,0.0,0.0
4,2023-05-31,2023-06-01,0,0.0,0.0,0.0,0.0,0.0
5,2023-06-30,2023-07-03,0,0.0,0.0,0.0,0.0,0.0
6,2023-07-31,2023-08-01,0,0.0,0.0,0.0,0.0,0.0
7,2023-08-31,2023-09-01,0,0.0,0.0,0.0,0.0,0.0
8,2023-09-29,2023-10-02,0,0.0,0.0,0.0,0.0,0.0
9,2023-10-31,2023-11-01,0,0.0,0.0,0.0,0.0,0.0
10,2023-11-30,2023-12-01,0,0.0,0.0,0.0,0.0,0.0
11,2023-12-29,2024-01-02,0,0.0,0.0,0.0,0.0,0.0
12,2024-01-31,2024-02-01,0,0.0,0.0,0.0,0.0,0.0
13,2024-02-29,2024-03-01,0,0.0,0.0,0.0,0.0,0.0
14,2024-03-28,2024-04-01,0,0.0,0.0,0.0,0.0,0.0
15,2024-04-30,2024-05-01,0,0.0,0.0,0.0,0.0,0.0
16,2024-05-31,2024-06-03,2,0.05,0.05,5e-05,5e-05,0.0001
17,2024-06-28,2024-07-01,3,0.07500000000000001,0.025,2.5e-05,2.5e-05,5e-05
18,2024-07-31,2024-08-01,5,0.125,0.05,5e-05,5e-05,0.0001
19,2024-08-30,2024-09-03,9,0.225,0.1,0.0001,0.0001,0.0002
20,2024-09-30,2024-10-01,9,0.225,0.0,0.0,0.0,0.0
21,2024-10-31,2024-11-01,9,0.225,0.0,0.0,0.0,0.0
22,2024-11-29,2024-12-02,9,0.225,0.0,0.0,0.0,0.0
23,2024-12-31,2025-01-02,9,0.225,0.0,0.0,0.0,0.0
24,2025-01-31,2025-02-03,9,0.225,0.0,0.0,0.0,0.0
25,2025-02-28,2025-03-03,10,0.25,0.025,2.5e-05,2.5e-05,5e-05
26,2025-03-31,2025-04-01,10,0.25,0.0,0.0,0.0,0.0
27,2025-04-30,2025-05-01,10,0.25,0.0,0.0,0.0,0.0
28,2025-05-30,2025-06-02,10,0.25,0.0,0.0,0.0,0.0
29,2025-06-30,2025-07-01,10,0.25,0.0,0.0,0.0,0.0
30,2025-07-31,2025-08-01,10,0.25,0.0,0.0,0.0,0.0
31,2025-08-29,2025-09-02,9,0.225,0.025,2.5e-05,2.5e-05,5e-05
32,2025-09-30,2025-10-01,9,0.225,0.0,0.0,0.0,0.0
33,2025-10-31,2025-11-03,9,0.225,0.0,0.0,0.0,0.0
34,2025-11-28,2025-12-01,9,0.225,0.0,0.0,0.0,0.0
35,2025-12-31,2026-01-02,9,0.225,0.0,0.0,0.0,0.0
36,2026-01-30,2026-02-02,9,0.225,0.0,0.0,0.0,0.0
37,2026-02-27,2026-03-02,9,0.225,0.0,0.0,0.0,0.0
38,2026-03-31,2026-04-01,9,0.225,0.0,0.0,0.0,0.0
39,2026-04-30,2026-05-01,9,0.225,0.0,0.0,0.0,0.0
